"Application Number","Incentive Amount","Total Cost","Host Customer Physical Zip Code"
"SD-CSI-07388",4930,71224,91901
"SD-CSI-01581",12019,55475,91901
"SD-CSI-02825",13051,59235.4,91901
"SD-CSI-05571",6198,37601,91901
"SD-CSI-03370",8415,41171,91901
"SD-CSI-08324",1311,21046,91901
"SD-CSI-06853",4042,47191,91901
"SD-CSI-07412",2714,22850,91901
"SD-CSI-08019",1524,24529,91901
"SD-CSI-12759",1565,58300,91901
"SD-CSI-05672",4415,26177,91901
"SD-CSI-15237",992,20570,91901
"SD-CSI-05695",9134,52868.83,91901
"SD-CSI-15195",1202,48469,91901
"SD-CSI-04163",20508,98500,91901
"SD-CSI-04596",7590,71000,91901
"SD-CSI-10847",1514,34276,91901
"SD-CSI-09771",5580,105356.13,91901
"SD-CSI-10716",883,36753,91901
"SD-CSI-09881",1842,33520,91901
"SD-CSI-12413",3329,83954,91901
"SD-CSI-09952",2762,39229,91901
"SD-CSI-14842",1015,27850,91901
"SD-CSI-09365",801,21305,91901
"SD-CSI-13355",2024,19704,91901
"SD-CSI-09404",1093,34740,91901
"SD-CSI-11740",2204,69000,91901
"SD-CSI-09552",1628,48108,91901
"SD-CSI-09622",3684,105016.8,91901
"SD-CSI-13889",514,17850,91901
"SD-CSI-09290",3708,75370,91901
"SD-CSI-09293",1734,30672,91901
"SD-CSI-11359",2059,62900,91901
"SD-CSI-09190",1663,44575,91901
"SD-CSI-10886",1768,44076.6,91901
"SD-CSI-08988",913,18635,91901
"SD-CSI-14492",1165,33880,91901
"SD-CSI-09062",1125,34076,91901
"SD-CSI-08906",2631,83250,91901
"SD-CSI-11182",607,15916.55,91901
"SD-CSI-08759",1326,29123.9,91901
"SD-CSI-11572",1315,34746,91901
"SD-CSI-08724",779,22445,91901
"SD-CSI-11101",1826,52096,91901
"SD-CSI-07878",1549,45007.2,91901
"SD-CSI-13514",1160,37350,91901
"SD-CSI-08402",872,23132,91901
"SD-CSI-14211",1036,30000,91901
"SD-CSI-16308",754,14000,91901
"SD-CSI-08705",961,37240,91901
"SD-CSI-13238",1149,38011,91901
"SD-CSI-08427",2345,45960,91901
"SD-CSI-16001",1811,64710.73,91901
"SD-CSI-08475",1905,41860,91901
"SD-CSI-11142",1628,40277,91901
"SD-CSI-08558",1981,41700,91901
"SD-CSI-12543",1693,60010,91901
"SD-CSI-08100",876,23950,91901
"SD-CSI-10257",1446,36481,91901
"SD-CSI-08253",2175,42750,91901
"SD-CSI-10641",1798,49000,91901
"SD-CSI-13967",1167,33992,91901
"SD-CSI-08237",2181,47690.04,91901
"SD-CSI-07968",1521,21763.35,91901
"SD-CSI-08016",2884,54186,91901
"SD-CSI-12004",2994,85905,91901
"SD-CSI-08043",1657,35461,91901
"SD-CSI-13498",1712,39030,91901
"SD-CSI-08018",1707,34760,91901
"SD-CSI-12223",1441,30000,91901
"SD-CSI-07975",905,23950,91901
"SD-CSI-10630",1090,39740,91901
"SD-CSI-07753",6908,62357.05,91901
"SD-CSI-07575",2901,34715.55,91901
"SD-CSI-16076",1333,36237,91901
"SD-CSI-07548",5292,62921,91901
"SD-CSI-13736",859,17440,91901
"SD-CSI-07523",6627,70459.69,91901
"SD-CSI-16664",1104,39875,91901
"SD-CSI-07468",2337,27337,91901
"SD-CSI-14844",1122,34250,91901
"SD-CSI-07483",4856,64818.23,91901
"SD-CSI-14369",2467,76714,91901
"SD-CSI-07375",4092,33357.84,91901
"SD-CSI-07385",4239,42259,91901
"SD-CSI-12783",1967,53500,91901
"SD-CSI-10484",602,27980,91901
"SD-CSI-07273",2594,24608,91901
"SD-CSI-10597",819,35740,91901
"SD-CSI-07175",3514,28300,91901
"SD-CSI-07122",4788,48850,91901
"SD-CSI-12073",682,21500,91901
"SD-CSI-06941",3636,37889,91901
"SD-CSI-13625",1587,45600,91901
"SD-CSI-06620",4481,89195,91901
"SD-CSI-06891",5509,59691,91901
"SD-CSI-06826",2429,32395,91901
"SD-CSI-16195",1949,50031,91901
"SD-CSI-06147",3258,36847.56,91901
"SD-CSI-14302",2571,85500,91901
"SD-CSI-06167",3567,39178.79,91901
"SD-CSI-10898",670,24075,91901
"SD-CSI-06434",4692,47643.58,91901
"SD-CSI-13155",1300,37471,91901
"SD-CSI-06128",811,17435.1,91901
"SD-CSI-10616",2810,67496,91901
"SD-CSI-06183",5225,52926.88,91901
"SD-CSI-12152",2384,63044,91901
"SD-CSI-06231",1983,22020.14,91901
"SD-CSI-15148",1594,44864,91901
"SD-CSI-06256",6087,63380,91901
"SD-CSI-12826",2070,68016,91901
"SD-CSI-15466",1342,36625,91901
"SD-CSI-06083",3230,32500,91901
"SD-CSI-11397",1460,44850,91901
"SD-CSI-10127",1679,33840,91901
"SD-CSI-10632",806,33240,91901
"SD-CSI-05984",4790,52320.91,91901
"SD-CSI-14124",1346,39789,91901
"SD-CSI-05836",6535,35259,91901
"SD-CSI-10302",1104,36267,91901
"SD-CSI-05745",3985,26084,91901
"SD-CSI-05748",5894,43000,91901
"SD-CSI-11875",845,28200,91901
"SD-CSI-05712",2773,29278,91901
"SD-CSI-12325",2120,52199.01,91901
"SD-CSI-05639",2599,21250,91901
"SD-CSI-05541",11868,73691,91901
"SD-CSI-13944",1819,49995,91901
"SD-CSI-05282",8246,45871.44,91901
"SD-CSI-13553",1126,36600,91901
"SD-CSI-05328",7896,45871.44,91901
"SD-CSI-10299",1200,29812,91901
"SD-CSI-05164",8078,46189.95,91901
"SD-CSI-05153",11484,67697.76,91901
"SD-CSI-14739",1483,45597,91901
"SD-CSI-10137",1538,38548,91901
"SD-CSI-13112",785,26900,91901
"SD-CSI-05026",5333,34381,91901
"SD-CSI-13992",984,31960,91901
"SD-CSI-04944",7237,42131.55,91901
"SD-CSI-04392",6516,48715.94,91901
"SD-CSI-15261",1111,34450,91901
"SD-CSI-04542",13606,123688.8,91901
"SD-CSI-15188",1596,44220,91901
"SD-CSI-04220",10030,47091,91901
"SD-CSI-10868",1567,41569,91901
"SD-CSI-04178",1550,25712,91901
"SD-CSI-14405",1197,35820,91901
"SD-CSI-03986",14124,74067.7,91901
"SD-CSI-10900",954,23460,91901
"SD-CSI-03813",11588,67397.55,91901
"SD-CSI-12979",1183,40127,91901
"SD-CSI-03811",15841,86530.7,91901
"SD-CSI-12615",1239,49857,91901
"SD-CSI-04037",7736,28524.9,91901
"SD-CSI-12861",2160,51000,91901
"SD-CSI-04122",6606,38000,91901
"SD-CSI-04105",3049,20000,91901
"SD-CSI-15238",541,15643,91901
"SD-CSI-03593",6078,32593.21,91901
"SD-CSI-03578",9921,45844,91901
"SD-CSI-11834",1622,35948,91901
"SD-CSI-03457",3743,42336,91901
"SD-CSI-12794",1043,24473,91901
"SD-CSI-13804",1536,37467,91901
"SD-CSI-01706",12542,48860.93,91901
"SD-CSI-01638",28175,113104,91901
"SD-CSI-15562",1526,44100,91901
"SD-CSI-02013",11865,120000,91901
"SD-CSI-14452",1117,45000,91901
"SD-CSI-02356",19338,86970,91901
"SD-CSI-16306",2764,77070,91901
"SD-CSI-02337",13047,60838,91901
"SD-CSI-10564",1672,49455.63,91901
"SD-CSI-01456",14929,31115.59,91901
"SD-CSI-13668",458,17850,91901
"SD-CSI-08284",992,22962,91901
"SD-CSI-12456",2541,59750,91901
"SD-CSI-14988",1358,30895,91901
"SD-CSI-10170",2483,43144,91901
"SD-CSI-11443",2236,53084,91901
"SD-CSI-00374",12530,34561.91,91901
"SD-CSI-10390",443,21642,91901
"SD-CSI-00393",27386,88899.95,91901
"SD-CSI-16119",1400,48300,91901
"SD-CSI-00096",18764.39,66825,91901
"SD-CSI-00196",10042,36410.99,91901
"SD-CSI-15335",1320,41746,91901
"SD-CSI-08191",2524,54064.29,91901
"SD-CSI-03912",11056,63215.96,91901
"SD-CSI-08283",984,24707,91901
"SD-CSI-01298",8489,34375.62,91901
"SD-CSI-10945",1636,44000,91901
"SD-CSI-04452",2643,41438,91901
"SD-CSI-10522",1021,27500,91901
"SD-CSI-01332",23135,91180,91901
"SD-CSI-11041",3500,87300.45,91901
"SD-CSI-13838",1774,47558,91901
"SD-CSI-00659",4574,19213.41,91901
"SD-CSI-12784",1365,35000,91901
"SD-CSI-06441",6095,67740,91901
"SD-CSI-16178",896,29388,91901
"SD-CSI-03719",7239,38242,91901
"SD-CSI-10480",572,23700,91901
"SD-CSI-03998",9701,41377,91901
"SD-CSI-10225",2075,29354,91901
"SD-CSI-08287",891,24633,91901
"SD-CSI-03996",21646,91703,91901
"SD-CSI-13768",1553,49400,91901
"SD-CSI-02017",7456,38250,91901
"SD-CSI-13617",1205,29500,91901
"SD-CSI-06293",3534,32271.9,91901
"SD-CSI-06276",1869,19436,91901
"SD-CSI-06353",2014,21168.82,91901
"SD-CSI-03121",3387,19796.89,91901
"SD-CSI-11606",1174,32000,91901
"SD-CSI-08051",2545,44860,91901
"SD-CSI-13915",1101,41644,91901
"SD-CSI-00797",14720,52220,91901
"SD-CSI-08091",1614,44575,91901
"SD-CSI-10235",3344,59784,91901
"SD-CSI-07320",2284,27406,91901
"SD-CSI-14266",1582,46237,91901
"SD-CSI-10310",1101,39450,91901
"SD-CSI-02413",13488,62468.51,91901
"SD-CSI-14500",1300,39758.4,91901
"SD-CSI-06296",1921,21172.66,91901
"SD-CSI-01584",19166,77976,91901
"SD-CSI-13394",1220,39240,91901
"SD-CSI-04406",7106,68716,91901
"SD-CSI-10634",603,21877.67,91901
"SD-CSI-01611",12685,51385.83,91901
"SD-CSI-12268",1629,36000,91901
"SD-CSI-12539",381,11442.5,91901
"SD-CSI-16456",1447,45752,91901
"SD-CSI-12161",1289,37744.11,91901
"SD-CSI-15852",663,19500,91901
"SD-CSI-10278",762,33240,91901
"SD-CSI-10365",1252,30013,91901
"SD-CSI-12653",3533,99258,91901
"SD-CSI-12238",1584,37425,91901
"SD-CSI-10370",2546,39676,91901
"SD-CSI-13549",1209,38511,91901
"SD-CSI-11017",1176,41100,91901
"SD-CSI-14412",863,26317.36,91901
"SD-CSI-15230",1540,42330,91901
"SD-CSI-14062",563,17200,91901
"SD-CSI-11304",3888,110863,91901
"SD-CSI-01843",7243,32481,91902
"SD-CSI-13290",1832,59873,91902
"SD-CSI-00210",23750,91600,91902
"SD-CSI-02438",9290,44396,91902
"SD-CSI-07418",3125,34740,91902
"SD-CSI-03290",7403,50650,91902
"SD-CSI-04088",6298,28233.21,91902
"SD-CSI-14823",918,23700,91902
"SD-CSI-01379",8131,36250,91902
"SD-CSI-03472",5995,33382.08,91902
"SD-CSI-14292",1006,29730,91902
"SD-CSI-14083",1288,39371.51,91902
"SD-CSI-01771",12301,51966.15,91902
"SD-CSI-03205",6248,35429.71,91902
"SD-CSI-15122",1193,35800,91902
"SD-CSI-01106",17688,75840.1,91902
"SD-CSI-08369",1911,37703.17,91902
"SD-CSI-06883",1271,17537,91902
"SD-CSI-14974",996,26595,91902
"SD-CSI-02220",1984,12167,91902
"SD-CSI-11516",4145,115500,91902
"SD-CSI-10982",1642,44664,91902
"SD-CSI-09768",1496,41841.6,91902
"SD-CSI-11152",1459,39386,91902
"SD-CSI-10017",1632,33246,91902
"SD-CSI-13144",1259,39550,91902
"SD-CSI-10004",1738,35721,91902
"SD-CSI-15541",1221,38737,91902
"SD-CSI-10091",875,25139,91902
"SD-CSI-16234",825,20300,91902
"SD-CSI-09784",1523,31500,91902
"SD-CSI-15051",950,21242,91902
"SD-CSI-09879",1536,31482,91902
"SD-CSI-09571",1776,33950,91902
"SD-CSI-16390",1179,33570,91902
"SD-CSI-09300",732,22400,91902
"SD-CSI-14239",575,16278,91902
"SD-CSI-09173",1243,29260,91902
"SD-CSI-12458",1430,36400,91902
"SD-CSI-08982",672,14625,91902
"SD-CSI-08875",2014,45536,91902
"SD-CSI-14460",1243,34843,91902
"SD-CSI-11153",1161,37811,91902
"SD-CSI-07952",1357,30168.46,91902
"SD-CSI-16646",573,23353,91902
"SD-CSI-07823",1045,27220,91902
"SD-CSI-16423",1109,22750,91902
"SD-CSI-07698",2055,23606,91902
"SD-CSI-12652",832,30127,91902
"SD-CSI-07684",2278,41256.6,91902
"SD-CSI-07556",1058,17775,91902
"SD-CSI-15516",876,25383,91902
"SD-CSI-07457",2326,31751,91902
"SD-CSI-15063",667,26110.5,91902
"SD-CSI-12338",867,21492,91902
"SD-CSI-06901",4105,45368,91902
"SD-CSI-14325",1949,55096,91902
"SD-CSI-06677",1316,16964,91902
"SD-CSI-11650",672,21400,91902
"SD-CSI-06527",1113,21150,91902
"SD-CSI-10392",1306,35617,91902
"SD-CSI-06833",2222,39285,91902
"SD-CSI-06246",2757,32202.42,91902
"SD-CSI-05619",4814,29256,91902
"SD-CSI-15212",1054,26377,91902
"SD-CSI-05495",4026,28762.5,91902
"SD-CSI-15742",1110,34925,91902
"SD-CSI-05449",4092,33900,91902
"SD-CSI-05462",5788,37859.09,91902
"SD-CSI-10252",1139,44154,91902
"SD-CSI-05173",4205,28934,91902
"SD-CSI-13405",1331,45780,91902
"SD-CSI-04849",1989,28042.01,91902
"SD-CSI-13485",1162,33991,91902
"SD-CSI-16169",414,15680,91902
"SD-CSI-04505",4733,38777.62,91902
"SD-CSI-14793",1119,40768,91902
"SD-CSI-03760",5473,25676,91902
"SD-CSI-11965",1605,41631,91902
"SD-CSI-03170",9153,49876,91902
"SD-CSI-15072",1736,41233.5,91902
"SD-CSI-03437",1973,22464,91902
"SD-CSI-02774",9620,30029,91902
"SD-CSI-14781",1270,40768,91902
"SD-CSI-00603",10712,43721,91902
"SD-CSI-10917",1449,41200,91902
"SD-CSI-05285",7347,58263,91902
"SD-CSI-16458",1026,28369,91902
"SD-CSI-04255",13962,82153.6,91902
"SD-CSI-13760",1686,42692,91902
"SD-CSI-03983",6978,39730.7,91902
"SD-CSI-12354",1197,28688.48,91902
"SD-CSI-02195",5580,27067.96,91902
"SD-CSI-02379",4452,19694.43,91902
"SD-CSI-06349",2304,26750,91902
"SD-CSI-11951",753,19875.13,91902
"SD-CSI-06134",2363,24220,91902
"SD-CSI-15419",614,12790.17,91902
"SD-CSI-01639",9820,44831.9,91902
"SD-CSI-08022",957,19320,91902
"SD-CSI-07990",1154,33150,91902
"SD-CSI-12614",721,21044.25,91902
"SD-CSI-06269",783,18360,91902
"SD-CSI-11391",1554,40081,91902
"SD-CSI-02293",4197,28428.75,91902
"SD-CSI-06308",2779,38500,91902
"SD-CSI-14136",1817,57000,91902
"SD-CSI-08113",491,17540,91902
"SD-CSI-10298",2512,62850,91902
"SD-CSI-12770",1297,36266,91902
"SD-CSI-08150",1685,34306,91902
"SD-CSI-15662",1677,47611,91902
"SD-CSI-08182",2369,41909,91902
"SD-CSI-15062",1310,30000,91902
"SD-CSI-08147",984,19980,91902
"SD-CSI-01598",13442,55982.02,91902
"SD-CSI-15814",518,16300,91902
"SD-CSI-04031",6778,46575,91902
"SD-CSI-12972",1344,41500,91902
"SD-CSI-11910",808,27842,91902
"SD-CSI-13701",781,29204,91902
"SD-CSI-11864",1429,30832,91902
"SD-CSI-14144",782,27000,91902
"SD-CSI-14384",722,26656,91902
"SD-CSI-14950",1620,37127,91902
"SD-CSI-15392",908,30744,91902
"SD-CSI-14631",1280,39402,91902
"SD-CSI-12565",993,37300,91902
"SD-CSI-15297",1022,29990,91902
"SD-CSI-13524",842,40300,91902
"SD-CSI-14708",2290,68670,91902
"SD-CSI-16041",586,21952,91902
"SD-CSI-12273",1598,33100,91902
"SD-CSI-13714",1195,40000,91902
"SD-CSI-14418",605,25473,91902
"SD-CSI-12739",1363,33100,91902
"SD-CSI-10629",1032,36130,91902
"SD-CSI-16127",676,21184,91902
"SD-CSI-15881",581,21952,91902
"SD-CSI-13033",668,36051,91902
"SD-CSI-16772",1322,41730,91902
"SD-CSI-14388",711,26656,91902
"SD-CSI-10875",1233,31425.59,91902
"SD-CSI-11098",1755,53300,91902
"SD-CSI-11227",1204,42916,91902
"SD-CSI-05311",5535,38595,91903
"SD-CSI-13882",1587,46566,91905
"SD-CSI-02051",6519,31517,91905
"SD-CSI-04686",9771,63878.59,91905
"SD-CSI-14712",1102,32238,91905
"SD-CSI-08877",568,12407,91905
"SD-CSI-15347",1701,39960,91905
"SD-CSI-04987",10954,67264,91905
"SD-CSI-13019",804,28000,91905
"SD-CSI-11428",2168,63000,91906
"SD-CSI-10103",497,11515,91906
"SD-CSI-11331",1306,35850,91906
"SD-CSI-15963",1259,41184.18,91906
"SD-CSI-09688",2773,47760,91906
"SD-CSI-09046",607,16700,91906
"SD-CSI-03628",6414,37950,91906
"SD-CSI-11706",846,24957,91906
"SD-CSI-00568",11098,45153.81,91906
"SD-CSI-10612",987,34500,91906
"SD-CSI-01623",7885,34333,91906
"SD-CSI-05550",5168,39422,91909
"SD-CSI-04153",2907,28560,91909
"SD-CSI-07201",1268,27224,91909
"SD-CSI-03562",6122,31113,91909
"SD-CSI-03224",3446,21090.5,91909
"SD-CSI-05951",3324,31508.8,91909
"SD-CSI-01977",2736,16795,91909
"SD-CSI-06795",2447,33148.76,91910
"SD-CSI-08535",698,20189.4,91910
"SD-CSI-02348",6272,30000.08,91910
"SD-CSI-08545",2188,47360,91910
"SD-CSI-00008",483812.55,1140844.81,91910
"SD-CSI-12597",907,28253,91910
"SD-CSI-04051",2067,17437.5,91910
"SD-CSI-14697",689,23032.45,91910
"SD-CSI-11566",751,25883,91910
"SD-CSI-02327",5362,37742.55,91910
"SD-CSI-11550",800,29273,91910
"SD-CSI-07365",8333,92000,91910
"SD-CSI-15613",629,19104,91910
"SD-CSI-07035",8211,88176,91910
"SD-CSI-15557",483,13771.37,91910
"SD-CSI-12731",837,39000,91910
"SD-CSI-03455",1885,19656,91910
"SD-CSI-00186",15098,50341,91910
"SD-CSI-10456",695,28800,91910
"SD-CSI-00987",5324,42000,91910
"SD-CSI-14587",1000,30902,91910
"SD-CSI-03171",1851,16120,91910
"SD-CSI-15179",422,15680,91910
"SD-CSI-02768",5920,19577.52,91910
"SD-CSI-05170",1305,19788.76,91910
"SD-CSI-12065",404,13247,91910
"SD-CSI-05162",2848,22273,91910
"SD-CSI-15962",733,20948,91910
"SD-CSI-08656",1014,18670,91910
"SD-CSI-11280",869,26500,91910
"SD-CSI-03401",3785,21628.64,91910
"SD-CSI-16451",673,28055,91910
"SD-CSI-01072",4396,44200,91910
"SD-CSI-16656",1017,27310,91910
"SD-CSI-00360",10004,36908.99,91910
"SD-CSI-13251",1334,43000,91910
"SD-CSI-12667",884,21203,91910
"SD-CSI-03134",3208,20396,91910
"SD-CSI-10967",1510,42300,91910
"SD-CSI-03861",1440,18144,91910
"SD-CSI-02624",4830,20381.28,91910
"SD-CSI-06094",915,16540,91910
"SD-CSI-08385",865,23461.2,91910
"SD-CSI-03585",3590,22290,91910
"SD-CSI-10049",2379,49000,91910
"SD-CSI-10142",657,16800,91910
"SD-CSI-10316",965,34950,91910
"SD-CSI-13078",800,24035,91910
"SD-CSI-10326",1049,26215,91910
"SD-CSI-09732",548,18591,91910
"SD-CSI-12945",971,23500,91910
"SD-CSI-09254",851,24019.8,91910
"SD-CSI-13054",576,20560,91910
"SD-CSI-11982",1415,36974,91910
"SD-CSI-08932",2087,50453.27,91910
"SD-CSI-14941",586,21952,91910
"SD-CSI-08987",1432,28904.34,91910
"SD-CSI-13039",2240,75500,91910
"SD-CSI-08962",1175,26520.81,91910
"SD-CSI-12021",766,29314,91910
"SD-CSI-08799",762,14889,91910
"SD-CSI-10980",859,27031,91910
"SD-CSI-08633",660,21758,91910
"SD-CSI-16358",615,17800,91910
"SD-CSI-12812",1158,47700,91910
"SD-CSI-07632",2963,34723,91910
"SD-CSI-07597",3647,53625.6,91910
"SD-CSI-15250",585,21952,91910
"SD-CSI-07475",1575,19535,91910
"SD-CSI-11990",869,24282,91910
"SD-CSI-06947",1614,22241,91910
"SD-CSI-10894",731,17922.4,91910
"SD-CSI-10542",869,24487,91910
"SD-CSI-06576",1107,14500,91910
"SD-CSI-10554",1127,43308,91910
"SD-CSI-05064",5222,37088.21,91910
"SD-CSI-15394",1605,35449,91910
"SD-CSI-04821",44811,233999.57,91910
"SD-CSI-04823",61392,256620.28,91910
"SD-CSI-11259",1364,39784,91910
"SD-CSI-04817",86880,394306.89,91910
"SD-CSI-04348",5327,30357.28,91910
"SD-CSI-01698",10990,45144,91910
"SD-CSI-15366",196,5250.5,91910
"SD-CSI-01719",5977,30660.38,91910
"SD-CSI-14509",899,28750,91910
"SD-CSI-01542",8338,50400,91910
"SD-CSI-01222",13187,49057,91910
"SD-CSI-12551",631,24400,91910
"SD-CSI-00029",18794,70939,91910
"SD-CSI-02836",9587,44988.58,91910
"SD-CSI-01230",4343,29910.5,91910
"SD-CSI-05743",1140,8665,91910
"SD-CSI-11908",1321,35479,91910
"SD-CSI-01279",6617,28356,91910
"SD-CSI-10528",670,22280,91910
"SD-CSI-02885",5115,28678.93,91910
"SD-CSI-10511",1140,27796.72,91910
"SD-CSI-07804",2572,60907.72,91910
"SD-CSI-16068",1496,42943,91910
"SD-CSI-04955",778,23650,91910
"SD-CSI-16383",913,23943,91910
"SD-CSI-02738",1968,16746.94,91910
"SD-CSI-11341",4514,127000,91910
"SD-CSI-06184",2526,25855.9,91910
"SD-CSI-06686",4047,63000,91910
"SD-CSI-06773",3117,48513,91910
"SD-CSI-11020",862,26500,91910
"SD-CSI-01995",5586,26364,91910
"SD-CSI-14398",682,21989.5,91910
"SD-CSI-03268",6365,30924.4,91910
"SD-CSI-15812",653,21622,91910
"SD-CSI-14805",694,26656,91910
"SD-CSI-10405",957,37844,91910
"SD-CSI-11213",974,34324,91910
"SD-CSI-06191",8372,148050,91910
"SD-CSI-07895",360,12873,91910
"SD-CSI-10926",964,29500,91910
"SD-CSI-14252",1022,28550,91910
"SD-CSI-09004",1502,41176.8,91910
"SD-CSI-02922",7220,68958,91910
"SD-CSI-10908",1002,27750,91910
"SD-CSI-11457",652,23277,91910
"SD-CSI-10972",872,27385,91910
"SD-CSI-06667",1786,21357,91910
"SD-CSI-12093",990,27971,91910
"SD-CSI-00227",9172,31683,91910
"SD-CSI-08328",1090,28296,91910
"SD-CSI-12360",810,19363.45,91910
"SD-CSI-01482",6569,29904.37,91910
"SD-CSI-10719",693,17140.9,91910
"SD-CSI-15504",1027,30720,91910
"SD-CSI-03807",2392,29552,91910
"SD-CSI-09534",979,31000,91910
"SD-CSI-01531",11087,47413.43,91910
"SD-CSI-14975",767,23701,91910
"SD-CSI-03933",3499,21812,91910
"SD-CSI-10207",1161,32594,91910
"SD-CSI-09653",3522,60731,91910
"SD-CSI-04582",5286,38499,91910
"SD-CSI-15514",420,15680,91910
"SD-CSI-02563",2827,28138,91910
"SD-CSI-03423",1874,17120,91910
"SD-CSI-11329",1876,50750,91910
"SD-CSI-12278",1586,39990.6,91910
"SD-CSI-10971",1355,41200,91910
"SD-CSI-12422",1270,37000,91910
"SD-CSI-11083",592,14561.95,91910
"SD-CSI-14642",1272,55583,91910
"SD-CSI-10873",392,12235,91910
"SD-CSI-10504",817,30808,91910
"SD-CSI-02515",6757,27087,91911
"SD-CSI-16557",521,20104,91911
"SD-CSI-00183",16103,56837,91911
"SD-CSI-06984",2304,33516,91911
"SD-CSI-16284",772,22407,91911
"SD-CSI-03368",6067,31752,91911
"SD-CSI-15145",428,15680,91911
"SD-CSI-00904",21059,98658,91911
"SD-CSI-13558",1112,37300,91911
"SD-CSI-10120",1400,37662.56,91911
"SD-CSI-11370",668,22400,91911
"SD-CSI-14267",927,29300,91911
"SD-CSI-00172",8848,32670,91911
"SD-CSI-03475",4209,55284,91911
"SD-CSI-15487",1748,50750,91911
"SD-CSI-04638",2462,37797.05,91911
"SD-CSI-04824",87831,344527.59,91911
"SD-CSI-06049",1629,19300,91911
"SD-CSI-13559",789,26550,91911
"SD-CSI-03212",5318,26318,91911
"SD-CSI-03544",6341,41229.6,91911
"SD-CSI-16411",586,23169.5,91911
"SD-CSI-10062",1350,27890,91911
"SD-CSI-15664",658,20108,91911
"SD-CSI-10054",1378,26100,91911
"SD-MASH-00001",677512,1050000,91911
"SD-CSI-10378",848,28100,91911
"SD-CSI-10401",736,23324,91911
"SD-CSI-12703",796,24312,91911
"SD-CSI-09355",954,19570,91911
"SD-CSI-09325",1398,43930,91911
"SD-CSI-09186",767,20588.4,91911
"SD-CSI-09079",1125,28838,91911
"SD-CSI-16158",674,18689,91911
"SD-CSI-08744",849,13865,91911
"SD-CSI-08404",489,17040,91911
"SD-CSI-08413",848,27870,91911
"SD-CSI-10910",1471,58650,91911
"SD-CSI-08563",685,17230,91911
"SD-CSI-16275",857,29299,91911
"SD-CSI-10570",745,14025,91911
"SD-CSI-07488",1841,31500,91911
"SD-CSI-12192",1074,25720.75,91911
"SD-CSI-07150",2770,35825,91911
"SD-CSI-15474",1530,47153,91911
"SD-CSI-06005",1605,26350,91911
"SD-CSI-13631",1162,38500,91911
"SD-CSI-05487",2884,21712,91911
"SD-CSI-05432",1387,19876,91911
"SD-CSI-04897",3110,27570.2,91911
"SD-MASH-00024",82854,120000,91911
"SD-CSI-04826",87002,363545.28,91911
"SD-CSI-15783",892,27140,91911
"SD-CSI-04819",86656,394306.89,91911
"SD-CSI-04822",59083,278005.28,91911
"SD-CSI-13492",1746,57453,91911
"SD-CSI-04816",28786,129999.6,91911
"SD-CSI-03071",3691,34024,91911
"SD-CSI-10970",817,25950,91911
"SD-CSI-02993",3560,29340,91911
"SD-CSI-13393",927,30400,91911
"SD-CSI-00097",23730,81983,91911
"SD-CSI-15456",786,20936,91911
"SD-CSI-02861",1820,19656,91911
"SD-MASH-00025",106111,163000,91911
"SD-CSI-04185",3535,16576.56,91911
"SD-CSI-15319",1197,33925,91911
"SD-CSI-01797",9946,36170.38,91911
"SD-CSI-01219",7665,34462.04,91911
"SD-CSI-13331",789,26400,91911
"SD-CSI-04901",2023,30500.96,91911
"SD-CSI-11302",1154,32250,91911
"SD-CSI-16130",565,17136,91911
"SD-CSI-09463",1112,34740,91911
"SD-CSI-14265",545,17900,91911
"SD-CSI-02512",4423,43886,91911
"SD-CSI-12848",1388,45500,91911
"SD-CSI-00010",1211582,3295823.11,91911
"SD-CSI-02537",6972,31619,91911
"SD-CSI-11312",712,17922.4,91911
"SD-CSI-14157",805,25000,91911
"SD-CSI-00222",1133722,3518807,91911
"SD-CSI-05918",1667,27300,91911
"SD-CSI-01453",3322,14312.72,91911
"SD-CSI-04367",1382,17068,91911
"SD-CSI-14145",1194,35020,91911
"SD-CSI-03322",6454,36840,91911
"SD-CSI-15608",201,5171.51,91911
"SD-CSI-00056",8829.08,35004,91911
"SD-CSI-14181",1166,35708,91911
"SD-CSI-04362",3522,21194.88,91911
"SD-CSI-16645",344,11016,91911
"SD-CSI-08515",4090,77500,91911
"SD-CSI-00257",8309,35931,91913
"SD-CSI-14400",1243,42300,91913
"SD-CSI-14860",597,21952,91913
"SD-CSI-03293",6030,35208,91913
"SD-CSI-14652",1178,36395,91913
"SD-CSI-00998",4952,21136.04,91913
"SD-CSI-16754",711,20825,91913
"SD-CSI-08625",684,17200,91913
"SD-CSI-05620",2872,21803,91913
"SD-CSI-15913",1233,40768,91913
"SD-CSI-08673",958,25068,91913
"SD-CSI-10918",1173,33424,91913
"SD-CSI-15340",670,27200,91913
"SD-CSI-04818",24925,104000.42,91913
"SD-CSI-10080",950,18641,91913
"SD-CSI-10270",1533,33831,91913
"SD-CSI-09965",2657,72352.8,91913
"SD-CSI-09979",1501,30209,91913
"SD-CSI-09924",421,13582,91913
"SD-CSI-11016",953,30665,91913
"SD-CSI-09785",698,23000,91913
"SD-CSI-15123",809,23900,91913
"SD-CSI-09781",634,17160.6,91913
"SD-CSI-09318",1445,43950,91913
"SD-CSI-16177",581,21952,91913
